time,event,packetId,delay,jitter,distance,nodeId,type
11.8323,TX,0,,,2980.12,25,legitimate
11.9352,RX,0,0.102922,0,,25,legitimate
15.625,TX,1,,,2806.37,23,legitimate
15.6765,RX,1,0.0514654,0.0514566,,23,legitimate
24.4608,TX,2,,,3842.25,14,legitimate
24.6462,RX,2,0.185357,0.133891,,14,legitimate
25.5418,TX,3,,,4030.09,2,legitimate
25.7272,RX,3,0.185357,6.27e-07,,2,legitimate
27.4718,TX,4,,,3479.84,20,legitimate
27.5747,RX,4,0.102924,0.0824338,,20,legitimate
29.4474,TX,5,,,2247.9,3,legitimate
29.4989,RX,5,0.0514635,0.0514601,,3,legitimate
34.9694,TX,6,,,4721.69,29,legitimate
35.2992,RX,6,0.329744,0.27828,,29,legitimate
35.9839,TX,7,,,4432.25,18,legitimate
36.3136,RX,7,0.329743,9.66e-07,,18,legitimate
40.1782,TX,8,,,2115.94,6,legitimate
40.2296,RX,8,0.0514631,0.27828,,6,legitimate
43.2702,TX,9,,,2351.42,13,legitimate
43.3217,RX,9,0.0514638,7.85e-07,,13,legitimate
47.2549,TX,10,,,4472.9,9,legitimate
47.5847,RX,10,0.329743,0.278279,,9,legitimate
47.7658,TX,11,,,2451.92,5,legitimate
47.8172,RX,11,0.0514642,0.278279,,5,legitimate
49.3439,TX,12,,,3837.63,27,legitimate
49.5293,RX,12,0.185357,0.133893,,27,legitimate
54.8459,TX,13,,,3283.11,8,legitimate
54.9488,RX,13,0.102923,0.0824338,,8,legitimate
55.2388,TX,14,,,3661.98,16,legitimate
55.4241,RX,14,0.185356,0.0824333,,16,legitimate
58.2973,TX,15,,,1117.89,4,legitimate
58.3487,RX,15,0.0514597,0.133896,,4,legitimate
58.6496,TX,16,,,3781.04,7,legitimate
58.8349,RX,16,0.185357,0.133897,,7,legitimate
60.0048,TX,17,,,2730.12,0,legitimate
60.0562,RX,17,0.0514651,0.133892,,0,legitimate
61.2836,TX,18,,,3630.55,17,legitimate
61.4689,RX,18,0.185356,0.133891,,17,legitimate
62.121,TX,19,,,2226.52,1,legitimate
