time,event,packetId,delay,jitter,distance,nodeId,type
3.37344,TX,0,,,2115.94,6,malicious
3.4249,RX,0,0.0514631,0,,6,malicious
3.83587,TX,1,,,2247.9,3,malicious
3.88734,RX,1,0.0514635,4.4e-07,,3,malicious
4.82003,TX,3,,,4472.9,9,malicious
5.14978,RX,3,0.329743,0.278279,,9,malicious
5.58754,TX,6,,,3781.04,7,malicious
5.74757,TX,7,,,2451.92,5,malicious
5.7729,RX,6,0.185357,0.144386,,7,malicious
5.79904,RX,7,0.0514642,0.133892,,5,malicious
6.03982,TX,10,,,1117.89,4,malicious
6.09128,RX,10,0.0514597,4.45e-06,,4,malicious
8.51904,TX,23,,,2115.94,6,malicious
8.5705,RX,23,0.0514631,3.329e-06,,6,malicious
8.98147,TX,27,,,2247.9,3,malicious
9.03294,RX,27,0.0514635,4.4e-07,,3,malicious
10.1599,TX,35,,,3283.11,8,malicious
10.2629,RX,35,0.102923,0.0514595,,8,malicious
10.8932,TX,38,,,2451.92,5,malicious
10.9446,RX,38,0.0514642,0.0514588,,5,malicious
11.1854,TX,41,,,1117.89,4,malicious
11.2369,RX,41,0.0514597,4.45e-06,,4,malicious
11.6102,TX,45,,,2226.52,1,malicious
11.6617,RX,45,0.0514634,3.698e-06,,1,malicious
12.9105,TX,57,,,4030.09,2,malicious
13.0959,RX,57,0.185357,0.133894,,2,malicious
13.6646,TX,60,,,2115.94,6,malicious
13.7161,RX,60,0.0514631,0.133894,,6,malicious
14.1271,TX,65,,,2247.9,3,malicious
14.1785,RX,65,0.0514635,4.4e-07,,3,malicious
15.3951,TX,79,,,2730.12,0,malicious
15.4465,RX,79,0.0514651,1.609e-06,,0,malicious
16.0388,TX,82,,,2451.92,5,malicious
16.0902,RX,82,0.0514642,9.28e-07,,5,malicious
16.331,TX,86,,,1117.89,4,malicious
16.3825,RX,86,0.0514597,4.45e-06,,4,malicious
16.7558,TX,91,,,2226.52,1,malicious
16.8073,RX,91,0.0514634,3.698e-06,,1,malicious
18.8102,TX,108,,,2115.94,6,malicious
18.8617,RX,108,0.0514631,3.69e-07,,6,malicious
19.2727,TX,114,,,2247.9,3,malicious
19.3241,RX,114,0.0514635,4.4e-07,,3,malicious
20.4511,TX,127,,,3283.11,8,malicious
20.5407,TX,129,,,2730.12,0,malicious
20.5541,RX,127,0.102923,0.0514595,,8,malicious
20.5921,RX,129,0.0514651,0.0514578,,0,malicious
21.1844,TX,132,,,2451.92,5,malicious
21.2358,RX,132,0.0514642,9.28e-07,,5,malicious
