time,event,packetId,delay,jitter,distance,nodeId,type
10.8642,TX,0,,,4432.25,18,legitimate
11.1939,RX,0,0.329743,0,,18,legitimate
16.1939,TX,0,,,888.487,30,replay
16.2608,RX,0,0.066819,0.262924,,30,replay
33.8888,TX,1,,,3283.11,8,legitimate
33.9918,RX,1,0.102923,0.036104,,8,legitimate
34.1483,TX,2,,,4872.86,19,legitimate
34.478,RX,2,0.329744,0.226821,,19,legitimate
38.9918,TX,1,,,888.487,30,replay
39.0586,RX,1,0.066819,0.262925,,30,replay
52.2205,TX,3,,,2801.42,12,legitimate
52.2719,RX,3,0.0514653,0.0153536,,12,legitimate
52.647,TX,4,,,3479.84,20,legitimate
52.7499,RX,4,0.102924,0.0514583,,20,legitimate
53.359,TX,5,,,3144.63,24,legitimate
53.4619,RX,5,0.102922,1.118e-06,,24,legitimate
55.8021,TX,6,,,2351.42,13,legitimate
55.8535,RX,6,0.0514638,0.0514586,,13,legitimate
57.2719,TX,3,,,888.487,30,replay
57.3387,RX,3,0.066819,0.0153551,,30,replay
58.915,TX,7,,,4370.27,10,legitimate
58.9649,TX,8,,,3837.63,27,legitimate
59.1502,RX,8,0.185357,0.118538,,27,legitimate
59.2447,RX,7,0.329743,0.144386,,10,legitimate
61.8118,TX,9,,,4227.92,28,legitimate
62.1415,RX,9,0.329742,4.75e-07,,28,legitimate
63.9535,TX,6,,,888.487,30,replay
64.0203,RX,6,0.066819,0.262923,,30,replay
64.9141,TX,10,,,2806.37,23,legitimate
64.9656,RX,10,0.0514654,0.0153536,,23,legitimate
65.0222,TX,11,,,1117.89,4,legitimate
65.0737,RX,11,0.0514597,5.632e-06,,4,legitimate
68.5209,TX,12,,,2226.52,1,legitimate
68.5724,RX,12,0.0514634,3.698e-06,,1,legitimate
70.6351,TX,11,,,888.487,30,replay
70.7019,RX,11,0.066819,0.0153555,,30,replay
70.8642,TX,13,,,4432.25,18,legitimate
71.1939,RX,13,0.329743,0.262924,,18,legitimate
71.7428,TX,14,,,356.489,15,legitimate
71.7943,RX,14,0.0514572,0.278286,,15,legitimate
72.2352,TX,15,,,4721.69,29,legitimate
72.5649,RX,15,0.329744,0.278287,,29,legitimate
72.7941,TX,16,,,2451.92,5,legitimate
72.8456,RX,16,0.0514642,0.27828,,5,legitimate
74.3356,TX,17,,,2980.12,25,legitimate
74.4386,RX,17,0.102922,0.0514578,,25,legitimate
77.0371,TX,18,,,3725.62,22,legitimate
77.2224,RX,18,0.185356,0.0824345,,22,legitimate
77.3167,TX,14,,,888.487,30,replay
77.3835,RX,14,0.066819,0.118537,,30,replay
81.2624,TX,19,,,4030.09,2,legitimate
81.4478,RX,19,0.185357,0.118538,,2,legitimate
81.5618,TX,20,,,4472.9,9,legitimate
81.8915,RX,20,0.329743,0.144385,,9,legitimate
83.9983,TX,18,,,888.487,30,replay
84.0651,RX,18,0.066819,0.262924,,30,replay
84.4872,TX,21,,,2247.9,3,legitimate
84.5386,RX,21,0.0514635,0.0153555,,3,legitimate
85.4544,TX,22,,,3630.55,17,legitimate
85.5372,TX,23,,,3661.98,16,legitimate
85.6398,RX,22,0.185356,0.133893,,17,legitimate
85.7226,RX,23,0.185356,1.05e-07,,16,legitimate
88.8645,TX,24,,,3842.25,14,legitimate
89.0498,RX,24,0.185357,6.01e-07,,14,legitimate
89.5663,TX,25,,,3385.08,11,legitimate
89.6692,RX,25,0.102923,0.0824335,,11,legitimate
90.4432,TX,26,,,4043.6,26,legitimate
90.6285,RX,26,0.185357,0.0824342,,26,legitimate
90.6799,TX,22,,,888.487,30,replay
90.7467,RX,22,0.066819,0.118539,,30,replay
93.8888,TX,27,,,3283.11,8,legitimate
93.9918,RX,27,0.102923,0.036104,,8,legitimate
94.1483,TX,28,,,4872.86,19,legitimate
94.478,RX,28,0.329744,0.226821,,19,legitimate
95.9296,TX,29,,,2730.12,0,legitimate
95.981,RX,29,0.0514651,0.278279,,0,legitimate
97.3615,TX,26,,,888.487,30,replay
97.4283,RX,26,0.066819,0.0153539,,30,replay
104.043,TX,29,,,888.487,30,replay
104.11,RX,29,0.066819,0,,30,replay
104.287,TX,30,,,2115.94,6,legitimate
104.339,RX,30,0.0514631,0.0153559,,6,legitimate
110.725,TX,30,,,888.487,30,replay
110.792,RX,30,0.066819,0.0153559,,30,replay
112.22,TX,31,,,2801.42,12,legitimate
112.272,RX,31,0.0514653,0.0153536,,12,legitimate
112.647,TX,32,,,3479.84,20,legitimate
